AIRLINE,COUNTRY,INFORMATION
AirAsia Zest,  Philippines, inactive (with supported aircraft)Renamed / Merged to Philippines AirAsia
Airbahn,  USA, inactive (with supported aircraft)
AirBlue,  Pakistan,  9 aircraft 
Airborne Express,  USA, inactive (with supported aircraft)Renamed / Merged to ABX Air
Airbus Industrie,  France,  10 aircraft 
Airbus Transport International,  France,  8 aircraft 
AirCal,  USA, inactive (with supported aircraft)Renamed / Merged to American Airlines
AirClass Airways,  Spain, inactive (with supported aircraft)
Aircraft Africa Contracts,  South Africa, inactive (with supported aircraft)
Aircraft Leasing Services,  Kenya,  18 aircraft 
Aircruising Australia,  Australia, inactive (with supported aircraft)
AirDC,  Congo, inactive (with supported aircraft)
AIRES Colombia,  Colombia, inactive (with supported aircraft)Renamed / Merged to LAN Colombia
Airest,  Estonia,  7 aircraft 
AirExplore,  Slovakia,  11 aircraft 
Airfast Indonesia,  Indonesia,  5 aircraft 
Airfreight Express,  United Kingdom, inactive (with supported aircraft)
Airgroup Havacilik,  Turkey, inactive (with supported aircraft)
Airhub Airlines,  Malta,  5 aircraft 
Airitaly,  Italy, inactive (with supported aircraft)
Airjet,  Angola,  2 aircraft 
Airlift Service,  Macedonia, inactive (with supported aircraft)
Airlinair,  France, inactive (with supported aircraft)Renamed / Merged to Hop!
Airlinair Portugal,  Portugal, inactive (with supported aircraft)
Airlines of PNG,  Papua New Guinea, inactive (with supported aircraft)Renamed / Merged to PNG Air
Airlink,  Papua New Guinea,  1 aircraft 
Airlink South Africa,  South Africa,  56 aircraft 
Airmark Aviation,  USA, inactive (with supported aircraft)Renamed / Merged to Transtar Airlines (1993)
Airmark Indonesia,  Indonesia, inactive (with supported aircraft)
AirMundo Miami Cargo,  Mexico, inactive (with supported aircraft)
Airnorth Regional,  Australia,  9 aircraft 
AirPac Airlines,  USA, inactive (with supported aircraft)
Airphil Express,  Philippines, inactive (with supported aircraft)Renamed / Merged to PAL Express
Airquarius Aviation,  South Africa, inactive (with supported aircraft)
Airseven,  Denmark,  3 aircraft 
Airstars,  Russia, inactive (with supported aircraft)
AirSwift,  Philippines,  4 aircraft 
AirTanker,  United Kingdom,  4 aircraft 
Airtours International,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to My Travel Airways
airTran,  USA, inactive (with supported aircraft)Renamed / Merged to Southwest Airlines
AirVolga,  Russia, inactive (with supported aircraft)Renamed / Merged to Rusline
Airways International Cymru,  United Kingdom, inactive (with supported aircraft)
Airwaze,  Cyprus, inactive (with supported aircraft)
Airwork,  New Zealand,  16 aircraft 
Airworks Kenya,  Kenya,  2 aircraft 
Airworld,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Flying Colours
Ajet,  Cyprus, inactive (with supported aircraft)
Ajwaa Airlines,  Egypt,  1 aircraft 
Ak Bars Aero,  Russia, inactive (with supported aircraft)
Akasa Air,  India,  20 aircraft 
Akdeniz Airlines,  Turkey, inactive (with supported aircraft)
Al Haya Airlines,  Iraq, inactive (with supported aircraft)Renamed / Merged to http://www.alhaya.aviation.com
Al Jaber Aviation,  United Arab Emirates, inactive (with supported aircraft)
Al Maha Airways,  Saudi Arabia, inactive (with supported aircraft)
Al Sayegh Airlines,  United Arab Emirates, inactive (with supported aircraft)
Al-Naser Airlines,  Iraq, inactive (with supported aircraft)
Aladia,  Mexico, inactive (with supported aircraft)
Alajnihah Airways,  Libya, inactive (with supported aircraft)
Alandia Air,  Finland, inactive (with supported aircraft)
ALAS Nacionales,  Dominican Republic, inactive (with supported aircraft)
Alas Uruguay,  Uruguay, inactive (with supported aircraft)
Alaska Airlines,  USA,  230 aircraft 
Alaska Central Express,  USA, inactive (with supported aircraft)
Albanian Airlines,  Albania, inactive (with supported aircraft)
Albarka Air,  Nigeria, inactive (with supported aircraft)
AlbaStar,  Spain,  5 aircraft 
Albatros Airlines,  Venezuela,  3 aircraft 
Albatros Airlines Turkey,  Turkey, inactive (with supported aircraft)
Albatros Airways,  Albania, inactive (with supported aircraft)
Albawings,  Albania,  4 aircraft 
Albinati Aviation,  Malta, inactive (with supported aircraft)
Aleutian Airways,  USA,  3 aircraft 
Alexandair,  Greece, inactive (with supported aircraft)
Alexandria Airlines,  Egypt,  2 aircraft 
Alfa Air Services,  Romania, inactive (with supported aircraft)
Algerian Government,  Algeria,  11 aircraft 
Aliadriatica,  Italy, inactive (with supported aircraft)
Alisarda,  Italy, inactive (with supported aircraft)Renamed / Merged to Meridiana
AlisCargo Airlines,  Ireland, inactive (with supported aircraft)
Alisea Airlines,  Italy, inactive (with supported aircraft)
Alitalia,  Italy, inactive (with supported aircraft)Renamed / Merged to ITA - Italia Trasporto Aereo
Alitalia CityLiner,  Italy, inactive (with supported aircraft)
Alitalia Express,  Italy, inactive (with supported aircraft)
ALK Airlines,  Bulgaria,  3 aircraft 
Alkan Air,  Canada,  2 aircraft 
All Leisure Airlines,  United Kingdom, inactive (with supported aircraft)
All Nippon Airways,  Japan,  211 aircraft 
Allegheny,  USA, inactive (with supported aircraft)Renamed / Merged to Piedmont
Allegiance Air,  South Africa, inactive (with supported aircraft)
Allegiant Air,  USA,  126 aircraft 
Allegro Airlines,  Mexico, inactive (with supported aircraft)
Alliance Air,  India, inactive (with supported aircraft)Renamed / Merged to Air India Regional
Alliance Airlines,  Australia,  66 aircraft 
AllianceJet,  Ireland, inactive (with supported aircraft)
Allied Air,  Nigeria,  3 aircraft 
ALM,  Aruba, inactive (with supported aircraft)Renamed / Merged to Dutch Caribbean Airlines
ALMA de Mexico,  Mexico, inactive (with supported aircraft)
Almasria Universal Airlines,  Egypt,  6 aircraft 
Aloha Air Cargo,  USA,  5 aircraft 
Aloha Airlines,  USA, inactive (with supported aircraft)
AlpAvia,  Slovenia,  1 aircraft 
Alpeflyet,  Denmark, inactive (with supported aircraft)
Alpha Express Airlines,  Latvia, inactive (with supported aircraft)
Alpha Star,  Saudi Arabia,  15 aircraft 
Alphaland Aviation,  Philippines,  2 aircraft 
Alpi Eagles,  Italy, inactive (with supported aircraft)
Alpine Air Express,  USA,  15 aircraft 
Alrosa Mirny Air Enterprise,  Russia,  4 aircraft 
Alsace Exel,  France, inactive (with supported aircraft)
Alsair,  France, inactive (with supported aircraft)
Alsavia,  France, inactive (with supported aircraft)
Alsie Express,  Denmark,  2 aircraft 
Alwafeer Air,  Saudi Arabia, inactive (with supported aircraft)
Alyemda,  Yemen, inactive (with supported aircraft)Renamed / Merged to Yemenia
Amakusa Airlines,  Japan,  1 aircraft 
Amann Aviation,  Australia, inactive (with supported aircraft)
Amapola Flyg,  Sweden,  13 aircraft 
Amaszonas,  Bolivia, inactive (with supported aircraft)
Amaszonas Uruguay,  Uruguay, inactive (with supported aircraft)
Amazon Prime Air,  USA,  81 aircraft 
Ambassadair,  USA, inactive (with supported aircraft)
Ambassador,  United Kingdom, inactive (with supported aircraft)
Amber Air,  Lithuania, inactive (with supported aircraft)
Amberair,  United Kingdom, inactive (with supported aircraft)
AMC,  Egypt,  1 aircraft 
AMC Aviation,  Poland,  1 aircraft 
Amelia,  Slovenia,  19 aircraft 
Amerer Air,  Austria, inactive (with supported aircraft)
America Air,  Brazil, inactive (with supported aircraft)
America West Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to US Airways
American Airlines,  USA,  944 aircraft 
American Eagle,  USA, inactive (with supported aircraft)Renamed / Merged to Envoy
American Express Bank,  USA, inactive (with supported aircraft)
American Falcon,  Argentina, inactive (with supported aircraft)
American International Airways,  USA, inactive (with supported aircraft)Renamed / Merged to Kitty Hawk International
American International Airways (1981),  USA, inactive (with supported aircraft)
American Jet,  Argentina,  3 aircraft 
American Trans Air,  USA, inactive (with supported aircraft)Renamed / Merged to ATA Airlines
Americana de Aviacion,  Peru, inactive (with supported aircraft)
Ameriflight,  USA,  19 aircraft 
Amerijet International,  USA,  23 aircraft 
Ameristar,  USA,  1 aircraft 
Amora Flight Charter,  Singapore, inactive (with supported aircraft)
AMS Airlines,  Georgia, inactive (with supported aircraft)
Amsair,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Air Charter Scotland
Amsterdam Airlines,  Netherlands, inactive (with supported aircraft)
AMW Tchad,  Chad, inactive (with supported aircraft)
ANA Wings,  Japan,  24 aircraft 
AnadoluJet,  Turkey,  84 aircraft 
Anap Jets,  Nigeria,  2 aircraft 
Anda Air,  Ukraine, inactive (with supported aircraft)
Andalus Lineas Aereas,  Spain, inactive (with supported aircraft)
Andalusair,  Spain, inactive (with supported aircraft)
Andes Lineas Aereas,  Argentina,  2 aircraft 
Andesmar Lineas Aereas,  Argentina, inactive (with supported aircraft)
Andorra Airlines,  Spain,  1 aircraft 
Angel Air,  Thailand, inactive (with supported aircraft)
Angkasa Pura Logistics,  Indonesia, inactive (with supported aircraft)
Angkor Airways,  Cambodia, inactive (with supported aircraft)
Anglo Cargo,  United Kingdom, inactive (with supported aircraft)
Angola Air Charter,  Angola, inactive (with supported aircraft)
Angola Government,  Angola,  1 aircraft 
Anic Airways,  Croatia, inactive (with supported aircraft)
Animawings,  Romania,  2 aircraft 
Anivia Servicos Aereos,  Brazil,  1 aircraft 
Ankair,  Turkey, inactive (with supported aircraft)
Ansett Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to Ansett Australia
Ansett Australia,  Australia, inactive (with supported aircraft)
Ansett Express,  Australia, inactive (with supported aircraft)
Ansett New Zealand,  New Zealand, inactive (with supported aircraft)
Ansett W.A.,  Australia, inactive (with supported aircraft)Renamed / Merged to Ansett Australia
Antigua Airways,  Sao Tome and Principes, inactive (with supported aircraft)
Antinea Airlines,  Algeria, inactive (with supported aircraft)
Antrak Air Ghana,  Ghana, inactive (with supported aircraft)
AOM French Airlines,  France, inactive (with supported aircraft)Renamed / Merged to Air Lib
APA International Air,  Dominican Republic, inactive (with supported aircraft)
Apex Air,  China, inactive (with supported aircraft)
APEX Airlines,  Myanmar, inactive (with supported aircraft)
Apollo Airlines,  Greece, inactive (with supported aircraft)
Apsara International Air,  Cambodia, inactive (with supported aircraft)
Aqaba Arlines,  Jordan, inactive (with supported aircraft)
Arab International,  Egypt, inactive (with supported aircraft)
Arab Wings,  Jordan,  4 aircraft 
Arabasco,  Saudi Arabia, inactive (with supported aircraft)
Arajet,  Dominican Republic,  5 aircraft 
ARAMCO,  Saudi Arabia,  8 aircraft 
Ararat International Airlines,  Armenia, inactive (with supported aircraft)
Aravco,  United Kingdom, inactive (with supported aircraft)
Arca Aerovias Colombianas,  Colombia, inactive (with supported aircraft)
Archana Airways,  India, inactive (with supported aircraft)
Arctic Sunwest Charters,  Canada, inactive (with supported aircraft)Renamed / Merged to Summit Air
ARG,  Argentina, inactive (with supported aircraft)
Argentine Gvmt,  Argentina,  5 aircraft 
Aria Air,  Iran, inactive (with supported aircraft)
Ariana Afghan Airlines,  Afghanistan,  4 aircraft 
Arik Air,  Nigeria,  3 aircraft 
Arizona Express Airlines,  USA, inactive (with supported aircraft)
ARjet Airlines,  Argentina, inactive (with supported aircraft)
Ark Airways,  Armenia, inactive (with supported aircraft)
Arkas SA,  Colombia, inactive (with supported aircraft)
ArkeFly,  Netherlands, inactive (with supported aircraft)Renamed / Merged to TUI Airlines Nederland
Arkia,  Israel,  5 aircraft 
ArmAvia,  Armenia, inactive (with supported aircraft)
Armenia Aircompany,  Armenia, inactive (with supported aircraft)
Armenia Airways,  Armenia,  2 aircraft 
Armenian Airlines,  Armenia,  2 aircraft 
Armenian Airlines Old,  Armenia, inactive (with supported aircraft)Renamed / Merged to Air Armenia
Armenian International Airways,  Armenia, inactive (with supported aircraft)
Arnoro,  Bosnia-Hercegovina, inactive (with supported aircraft)
Arrow Air,  USA, inactive (with supported aircraft)
ART Aviation,  Austria, inactive (with supported aircraft)
Aruba Airlines,  Aruba,  2 aircraft 
ArubaExel,  Aruba, inactive (with supported aircraft)
Aryan Cargo Express,  India, inactive (with supported aircraft)
As Salaam Air,  Tanzania,  2 aircraft 
Asa Jet,  Iran,  2 aircraft 
Asasco,  Saudi Arabia, inactive (with supported aircraft)
Asecna,  Senegal,  1 aircraft 
ASERCA,  Venezuela, inactive (with supported aircraft)
Asia Alpha Airways,  Kyrgyzstan, inactive (with supported aircraft)
Asia Atlantic Airlines,  Thailand, inactive (with supported aircraft)
Asia Aviation Service,  Taiwan, inactive (with supported aircraft)
Asia Cargo Airlines,  Indonesia,  3 aircraft 
Asia Cargo Express,  Malaysia, inactive (with supported aircraft)Renamed / Merged to World Cargo Airline
Asia Continental Airlines,  Qazakhstan, inactive (with supported aircraft)
Asia Pacific Airlines,  Papua New Guinea,  3 aircraft 
Asia Pacific Airlines (Guam),  USA,  2 aircraft 
Asia Sky Lines,  Tajikistan, inactive (with supported aircraft)
Asia Wings,  Qazakhstan, inactive (with supported aircraft)
Asialink Cargo Express,  Indonesia, inactive (with supported aircraft)
Asian Air,  Thailand, inactive (with supported aircraft)
Asian Express Airline,  Tajikistan,  1 aircraft 
Asian Spirit,  Philippines, inactive (with supported aircraft)Renamed / Merged to Zest Air
Asian Wings Airways,  Myanmar, inactive (with supported aircraft)
Asiana Airlines,  South Korea,  76 aircraft 
Asky Airlines,  Togo,  13 aircraft 
ASL Airlines Belgium,  Belgium,  36 aircraft 
ASL Airlines France,  France,  15 aircraft 
ASL Airlines Hungary,  Hungary, inactive (with supported aircraft)
ASL Airlines Ireland,  Ireland,  39 aircraft 
ASL Airlines Spain,  Spain, inactive (with supported aircraft)
ASL Airlines Switzerland,  Switzerland, inactive (with supported aircraft)
ASL Airlines UK,  United Kingdom,  2 aircraft 
ASL AirTaxi,  Belgium, inactive (with supported aircraft)
Aspen Airways,  USA, inactive (with supported aircraft)Renamed / Merged to Air Wisconsin
Aspire Airlines,  Canada, inactive (with supported aircraft)
Associated Aviation,  Nigeria, inactive (with supported aircraft)
Astar Air Cargo,  USA, inactive (with supported aircraft)
Astoria Airlines,  Switzerland, inactive (with supported aircraft)
Astra Airlines,  Switzerland, inactive (with supported aircraft)
Astra Airlines Greece,  Greece, inactive (with supported aircraft)
Astraeus,  United Kingdom, inactive (with supported aircraft)
Astral Aviation,  Kenya,  3 aircraft 
Astro Air,  China,  2 aircraft 
Astro Air International,  Philippines, inactive (with supported aircraft)Renamed / Merged to Pan Pacific Airlines
ATA Airlines,  USA, inactive (with supported aircraft)
ATA Airlines Iran,  Iran,  12 aircraft 
ATA Brasil,  Brazil, inactive (with supported aircraft)
Athabaska Airways,  Canada, inactive (with supported aircraft)Renamed / Merged to Transwest Air
Athens Airways,  Greece, inactive (with supported aircraft)
ATI,  Italy, inactive (with supported aircraft)Renamed / Merged to Alitalia
Atlant-Soyuz Airlines,  Russia, inactive (with supported aircraft)Renamed / Merged to Moscow Airlines
Atlantic Airlines,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to West Atlantic (UK)
Atlantic Airlines de Honduras,  Honduras, inactive (with supported aircraft)
